INFO:root:So should this
INFO:root:So should this
INFO:root:[1369753231: [1, 2, Enzo] ], 
INFO:root:[1369753232: [1, 2, Enzo] ], 
INFO:root:[1369753232: [1, 2, Enzo] ], 
INFO:root:[1369753232: [1, 2, Enzo] ], 
INFO:root:[1369753232: [1, 2, Enzo] ], 
INFO:root:[1369753232: [1, 2, Enzo] ], 
INFO:root:[1369753232: [1, 2, Enzo] ], 
INFO:root:[1369753233: [1, 2, Enzo] ], 
INFO:root:[1369753234: [1, 2, Enzo] ], 
INFO:root:[1369753235: [1, 2, Enzo] ], 
INFO:root:[1369753235: [1, 2, Enzo] ], 
INFO:root:[1369753235: [1, 2, Enzo] ], 
INFO:root:[1369753235: [1, 2, Enzo] ], 
INFO:root:[1369753236: [1, 2, Enzo] ], 
INFO:root:[1369753236: [1, 2, Enzo] ], 
INFO:root:[1369753236: [1, 2, Enzo] ], 
INFO:root:[1369753236: [1, 2, Enzo] ], 
INFO:root:[1369753236: [1, 2, Enzo] ], 
INFO:root:[1369753237: [1, 2, Enzo] ], 
INFO:root:[1369753237: [1, 2, Enzo] ], 
INFO:root:[1369753237: [1, 2, Enzo] ], 
INFO:root:[1369753237: [1, 2, Enzo] ], 
INFO:root:[1369753238: [1, 2, Enzo] ], 
INFO:root:[1369753238: [1, 2, Enzo] ], 
INFO:root:[1369753238: [1, 2, Enzo] ], 
INFO:root:[1369753238: [1, 2, Enzo] ], 
INFO:root:[1369753239: [1, 2, Enzo] ], 
INFO:root:[1369753239: [1, 2, Enzo] ], 
INFO:root:[1369753239: [1, 2, Enzo] ], 
INFO:root:[1369753239: [1, 2, Enzo] ], 
INFO:root:[1369753240: [1, 2, Enzo] ], 
INFO:root:[1369753240: [1, 2, Enzo] ], 
INFO:root:[1369753241: [1, 2, Enzo] ], 
INFO:root:[1369753241: [1, 2, Enzo] ], 
INFO:root:[1369753241: [1, 2, Enzo] ], 
INFO:root:[1369753242: [1, 2, Enzo] ], 
INFO:root:[1369753242: [1, 2, Enzo] ], 
INFO:root:[1369753243: [1, 2, Enzo] ], 
INFO:root:[1369753243: [1, 2, Enzo] ], 
INFO:root:[1369753243: [1, 2, Enzo] ], 
INFO:root:[1369753243: [1, 2, Enzo] ], 
INFO:root:[1369753244: [1, 2, Enzo] ], 
INFO:root:[1369753245: [1, 2, Enzo] ], 
